text,label
Produk ini sangat bagus,positif
Saya sangat puas dengan layanan ini,positif
Kualitas barang sangat buruk,negatif
Pengiriman sangat lambat,negatif
Produk ini luar biasa,positif
Saya kecewa dengan produk ini,negatif
Pelayanan toko sangat ramah,positif
Barang tidak sesuai deskripsi,negatif
Harga sangat terjangkau,positif
Produk rusak saat diterima,negatif
Pengemasan rapi dan aman,positif
Respon penjual sangat lambat,negatif
Kualitas produk sangat memuaskan,positif
Barang cepat sampai,positif
Produk tidak berfungsi dengan baik,negatif
Saya sangat merekomendasikan produk ini,positif
Pengiriman sangat cepat,positif
Barang datang terlambat,negatif
Pelayanan sangat buruk,negatif
Produk ini berkualitas tinggi,positif
Saya tidak puas dengan produk ini,negatif
Toko memberikan pelayanan terbaik,positif
Barang cacat dan tidak layak pakai,negatif
Harga sesuai dengan kualitas,positif
Produk tidak seperti yang diharapkan,negatif
Pengalaman belanja sangat menyenangkan,positif
Penjual tidak responsif,negatif
Produk sangat awet dan tahan lama,positif
Barang cepat rusak,negatif
Pelayanan sangat memuaskan,positif
Saya kecewa dengan pelayanan toko,negatif
Produk sangat bagus dan berkualitas,positif
Pengiriman sangat lama,negatif
Barang sesuai dengan deskripsi,positif
Kualitas sangat jelek,negatif
Produk ini sangat membantu,positif
Saya tidak akan membeli lagi,negatif
Harga terlalu mahal untuk kualitas ini,negatif
Produk ini sangat direkomendasikan,positif
Pengemasan sangat buruk,negatif
Barang diterima dalam kondisi baik,positif
Pelayanan sangat cepat dan ramah,positif
Produk tidak sesuai ekspektasi,negatif
Saya sangat puas dengan produk ini,positif
Pengiriman tidak tepat waktu,negatif
Barang berkualitas bagus,positif
Produk ini mengecewakan,negatif
Saya sangat senang dengan pembelian ini,positif
Pelayanan tidak memuaskan,negatif
Produk sangat worth it,positif
produk ini sangat bagus,positif
saya sangat puas dengan layanan ini,positif
kualitas barang sangat buruk,negatif
pengiriman sangat lambat,negatif
produk ini luar biasa,positif
saya kecewa dengan produk ini,negatif
pelayanan toko sangat ramah,positif
barang tidak sesuai deskripsi,negatif
bahan kainnya sangat lembut dan nyaman,positif
harga murah tapi kualitas premium,positif
respon penjual sangat cepat dan membantu,positif
packing rapi dan aman sampai tujuan,positif
warnanya sangat cantik sesuai foto,positif
rekomendasi banget buat yang cari kado,positif
ukuran pas banget di badan saya,positif
jahitannya rapi tidak ada yang lepas,positif
pengiriman super cepat cuma sehari sampai,positif
adminnya ramah banget sumpah,positif
asli ini mah barangnya original,positif
kapok belanja di sini barang rusak,negatif
penjual tidak jujur barang bekas dikirim,negatif
ukuran kekecilan padahal sudah tanya admin,negatif
warna luntur pas pertama kali dicuci,negatif
pengiriman telat seminggu parah banget,negatif
bungkusnya sobek barangnya jadi lecet,negatif
kapasitas baterai tidak sesuai deskripsi,negatif
suaranya cempreng banget kecewa,negatif
tombolnya keras susah dipencet,negatif
bau plastiknya menyengat sekali,negatif
pelayanan buruk chat tidak dibalas,negatif
barangnya oke tapi kurirnya kurang ramah,positif
lumayanlah buat harga segini,positif
keren abis nggak nyesel beli di sini,positif
mantap jiwa barang berfungsi normal,positif
top banget deh pokoknya,positif
kualitas bintang lima harga kaki lima,positif
sangat terbantu dengan produk ini,positif
sudah langganan di sini selalu puas,positif
produk sangat membantu pekerjaan saya,positif
kemasan sangat elegan dan mewah,positif
tipu tipu gambarnya bagus aslinya jelek,negatif
nyesel beli banyak ternyata zonk,negatif
bahannya panas banget nggak enak dipakai,negatif
lemnya belepotan nggak rapi,negatif
layarnya pecah pas dibuka,negatif
isi paket kurang satu item,negatif
sudah bayar mahal tapi barang abal-abal,negatif
suara mesinnya berisik sekali,negatif
boros baterai padahal baru dipakai sebentar,negatif
tali tasnya gampang putus,negatif
kecewa banget barangnya tipis nerawang tidak sesuai sama yang ada di foto promosi kapok beli di sini,negatif
pengiriman lama banget udah seminggu lebih baru sampai padahal pake kurir yang kilat nyesel deh,negatif
packing hancur pas sampai rumah barangnya jadi penyok dan lecet penjual tidak amanah,negatif
barangnya kw ya kok beda banget sama yang ori suaranya cempreng banget kecewa berat,negatif
toko tidak respon chat sama sekali padahal barang yang dikirim kurang satu item jangan beli di sini,negatif
ukuran kekecilan banget padahal sudah pesan yang XL tapi pas datang kayak ukuran anak kecil,negatif
baru dipake sekali udah sobek jahitannya gak rapi bumbu juga hambar gak ada rasanya,negatif
nyesel beli banyak ternyata zonk rasanya aneh bau apek gitu mending beli di toko sebelah,negatif
tipu tipu gambarnya bagus aslinya jelek banget bahannya panas kalau dipake gatal gatal,negatif
kapasitas baterai tidak sesuai deskripsi baru sejam udah mati total dicharge juga lama banget,negatif
adminnya judes banget ditanya baik baik malah dijawab ketus gak ada sopan santunnya,negatif
warna luntur parah pas dicuci pertama kali baju lain jadi kena noda semua parah sih ini,negatif
suara mesin berisik sekali dan cepat panas takut meledak kalau dipake lama lama,negatif
isi paket tidak lengkap beli tiga cuma dikirim dua udah komplain tapi gak ada solusi,negatif
bahannya kasar banget kayak kain pel gak worth it sama harganya yang lumayan mahal,negatif
Paket sudah sampai sangat cepat kualitas bju bgus bhan lembut sesui dgn poto tokoh amanah sukses terus buat toko nya kurir ramma sudah langanan sering ngantar paket krm jdi dak asing lagi sudah knal baik,positif
Aaaaaa yg ditunggu akhirnya datang juga wah basrengnya enak banget lho selain itu harga nya udh Murmer packingnya juga super rapi Tak lupa enak buat cemilan sehari Cus tunggu apalagi langsung diorder,positif
Awalnya tidak bisa menyala bahkan saya sudah mengganti kabel puluhan menit hanya terisi 0 saya tinggal 1/2 jam masih belum terisi tidak bisa dipakai mungkin kurang berkualitas pengisian sangat lama,negatif
Bahan lumayan untuk slimut harga dibawah 50 ribu bisa gonta ganti pake selimut bisa untuk persiapan ad tamu yg nginep juga ringan buat dibawa kemana mana,positif
Recomended sekali maszeh harga murah dr yg lain kain bagus pas sesuai deskripsi nyaman dipakai cek video kalo ga percaya pengiriman patas jaya kurir langganan ramah sellernya ramah buat yg jual laris lancar bos,positif
Suka banget sama Tawas Spray ini kemarin beli pakai vocer jadi sekalian langsung 3 dapet free ongkir lagi makasiii seller pake tawas ini jadi lebih hemat soalnya harganya murah banget makanya beli langsung 3 huhu suka bangettt soalnya ga ada bekas di baju putih ga bau ketiii seharian kalo pake ini kalian harus coba pokonyaaa,positif
Paket sudah sampai pengiriman cepat Sesuai pesanan harga murah Mudah2an cocok,positif
Enak bngettt renyah gak keras mie lidinya Rasa baladonya pas trs bumbu nya berlimpah jugaa gak nyesel deh beli disini,positif
Rasanya enakk dan yang paling suka itu packing nya itu aman bangeettt & Tebel lagiii Terus pertahankan yaa kakak terimakasih yaa Kakak,positif
Rasa nampollllllll Kualitas terbaikk Plissss emangg bolehhh se enakkk ituuuu Nysel cuman beli dikitttt enakk bgttt ga nyesel deh beli disiniii ini aku tambahin seledri biar wangi tambah enak jugaa,positif
Bgsss kokk bahan gaa tipisss bngett sesuai Hrga laa Sukaa Bangett dehh tp ulasan yg Laen ga Bgs Tp bagi Saya Baju nya bgus kokkk,positif
Baju ny udah Dateng baju ny sich bagus lumayan tebel cuman kok di keterangan shopi harganya ngak nyampek 16 rb tapi kurir ny bilang ny 20 rb karna AQ orang ny GK mau ribet langsung AQ byar aja mungkin karna kurir baru kali yaa jadi harga di naikin sendri,negatif
suka banget sama tasnya kualitas premium,positif
tasnya bagus banget awet dipake kerja,positif
kualitas barang bagus sekali suka banget belanja di sini,positif
Gokil banget kualitasnya asli suka sekali,positif
Barangnya gokil parah pengiriman cepat,positif
Gokil sih ini mah gak nyesel beli di sini,positif
Asli gokil pelayanannya ramah banget,positif
Barang gokil kualitas bintang lima,positif
Wah gokil banget dapet harga murah barang mewah,positif
Zonk banget kecewa berat jangan beli,negatif
Barang zonk tidak sesuai deskripsi parah,negatif
Nyesel beli di sini barangnya zonk,negatif
Bener-bener zonk kualitasnya buruk sekali,negatif